name,generic_name,manufacturer,category,price,dosage,description
Advil,Ibuprofen,Pfizer,Pain Relief,8.99,200mg,"Pain reliever and fever reducer"
Tylenol,Acetaminophen,Johnson & Johnson,Pain Relief,7.99,500mg,"Pain reliever and fever reducer"
Benadryl,Diphenhydramine,Johnson & Johnson,Allergy,12.99,25mg,"Antihistamine for allergy relief"
Claritin,Loratadine,Bayer,Allergy,15.99,10mg,"24-hour allergy relief"
Zantac,Ranitidine,GlaxoSmithKline,Antacid,11.99,150mg,"Reduces stomach acid production"
Pepcid,Famotidine,Johnson & Johnson,Antacid,13.99,20mg,"Acid reducer for heartburn relief"
Zyrtec,Cetirizine,Johnson & Johnson,Allergy,18.99,10mg,"Allergy relief medication"
Robitussin,Dextromethorphan,Pfizer,Cough,9.99,100mg,"Cough suppressant"
Mucinex,Guaifenesin,Reckitt Benckiser,Cough,14.99,600mg,"Expectorant for chest congestion"
Sudafed,Pseudoephedrine,Johnson & Johnson,Decongestant,10.99,30mg,"Nasal decongestant"
Lipitor,Atorvastatin,Pfizer,Cholesterol,45.99,40mg,"Cholesterol-lowering medication"
Nexium,Esomeprazole,AstraZeneca,Antacid,29.99,40mg,"Acid reflux treatment"
Prozac,Fluoxetine,Eli Lilly,Antidepressant,24.99,20mg,"Antidepressant medication"
Zoloft,Sertraline,Pfizer,Antidepressant,28.99,50mg,"Depression and anxiety treatment"
Xanax,Alprazolam,Pfizer,Anxiety,32.99,0.5mg,"Anti-anxiety medication"
Ambien,Zolpidem,Sanofi,Sleep Aid,39.99,10mg,"Sleep medication"
Prilosec,Omeprazole,AstraZeneca,Antacid,19.99,20mg,"Heartburn relief medication"
Allegra,Fexofenadine,Sanofi,Allergy,21.99,180mg,"Non-drowsy allergy relief"
Flonase,Fluticasone,GlaxoSmithKline,Allergy,23.99,50mcg,"Nasal allergy spray"
Motrin,Ibuprofen,Johnson & Johnson,Pain Relief,9.99,200mg,"Pain and fever reducer"
Aleve,Naproxen,Bayer,Pain Relief,11.99,220mg,"Long-lasting pain relief"
Excedrin,Acetaminophen/Aspirin/Caffeine,GlaxoSmithKline,Pain Relief,13.99,250mg,"Migraine relief medication"
DayQuil,Acetaminophen/Dextromethorphan,Procter & Gamble,Cold & Flu,15.99,325mg,"Daytime cold and flu relief"
NyQuil,Acetaminophen/Doxylamine,Procter & Gamble,Cold & Flu,15.99,325mg,"Nighttime cold and flu relief"
Tamiflu,Oseltamivir,Roche,Antiviral,89.99,75mg,"Influenza treatment"
Valium,Diazepam,Roche,Anxiety,34.99,5mg,"Anti-anxiety medication"
Celebrex,Celecoxib,Pfizer,Pain Relief,42.99,200mg,"Arthritis pain reliever"
Lexapro,Escitalopram,Forest Laboratories,Antidepressant,35.99,10mg,"Depression and anxiety treatment"
Cymbalta,Duloxetine,Eli Lilly,Antidepressant,49.99,30mg,"Depression and pain medication"
Singulair,Montelukast,Merck,Allergy,37.99,10mg,"Asthma and allergy medication"
Abilify,Aripiprazole,Otsuka,Antipsychotic,199.99,10mg,"Mental health medication"
Crestor,Rosuvastatin,AstraZeneca,Cholesterol,42.99,10mg,"Cholesterol management"
Viagra,Sildenafil,Pfizer,ED Treatment,79.99,50mg,"Erectile dysfunction medication"
Cialis,Tadalafil,Eli Lilly,ED Treatment,82.99,10mg,"Erectile dysfunction treatment"
Synthroid,Levothyroxine,AbbVie,Thyroid,25.99,50mcg,"Thyroid hormone replacement"
Ventolin,Albuterol,GlaxoSmithKline,Asthma,29.99,90mcg,"Asthma inhaler"
ProAir,Albuterol,Teva,Asthma,31.99,90mcg,"Bronchial inhaler"
Flovent,Fluticasone,GlaxoSmithKline,Asthma,159.99,110mcg,"Preventive asthma inhaler"
Januvia,Sitagliptin,Merck,Diabetes,399.99,100mg,"Type 2 diabetes medication"
Metformin,Metformin,Various,Diabetes,4.99,500mg,"Diabetes management medication"
Lantus,Insulin Glargine,Sanofi,Diabetes,299.99,100units/mL,"Long-acting insulin"
Lyrica,Pregabalin,Pfizer,Pain Relief,129.99,75mg,"Nerve pain medication"
Gabapentin,Gabapentin,Various,Pain Relief,12.99,300mg,"Nerve pain treatment"
Tramadol,Tramadol,Various,Pain Relief,15.99,50mg,"Pain management medication"
Wellbutrin,Bupropion,GlaxoSmithKline,Antidepressant,39.99,150mg,"Depression treatment"
Paxil,Paroxetine,GlaxoSmithKline,Antidepressant,29.99,20mg,"Anxiety and depression medication"
Effexor,Venlafaxine,Pfizer,Antidepressant,34.99,75mg,"Depression and anxiety treatment"
Pristiq,Desvenlafaxine,Pfizer,Antidepressant,45.99,50mg,"Major depressive disorder treatment"
Celexa,Citalopram,Forest Laboratories,Antidepressant,19.99,20mg,"Depression medication"
Lamictal,Lamotrigine,GlaxoSmithKline,Anticonvulsant,89.99,100mg,"Mood stabilizer medication"
Topamax,Topiramate,Johnson & Johnson,Anticonvulsant,79.99,50mg,"Seizure prevention medication"
Depakote,Divalproex,AbbVie,Anticonvulsant,69.99,250mg,"Seizure and bipolar medication"
Keppra,Levetiracetam,UCB,Anticonvulsant,59.99,500mg,"Epilepsy medication"
Neurontin,Gabapentin,Pfizer,Anticonvulsant,49.99,300mg,"Nerve pain and epilepsy medication"
Ativan,Lorazepam,Viatris,Anxiety,19.99,1mg,"Anxiety relief medication"
Klonopin,Clonazepam,Roche,Anxiety,24.99,0.5mg,"Panic disorder medication"
Buspar,Buspirone,Bristol Myers Squibb,Anxiety,29.99,10mg,"Anti-anxiety medication"
Remeron,Mirtazapine,Merck,Antidepressant,39.99,15mg,"Depression treatment"
Trazodone,Trazodone,Various,Antidepressant,9.99,50mg,"Depression and insomnia medication"
Lunesta,Eszopiclone,Sunovion,Sleep Aid,44.99,2mg,"Sleep medication"
Sonata,Zaleplon,Pfizer,Sleep Aid,34.99,10mg,"Short-term insomnia treatment"
Restoril,Temazepam,Mallinckrodt,Sleep Aid,29.99,15mg,"Sleep disorder medication"
Rozerem,Ramelteon,Takeda,Sleep Aid,49.99,8mg,"Insomnia treatment"
Belsomra,Suvorexant,Merck,Sleep Aid,59.99,10mg,"Sleep medication"
Doxepin,Doxepin,Various,Antidepressant,14.99,10mg,"Depression and anxiety treatment"
Nortriptyline,Nortriptyline,Various,Antidepressant,12.99,25mg,"Depression medication"
Amitriptyline,Amitriptyline,Various,Antidepressant,11.99,25mg,"Depression and pain treatment"
Imipramine,Imipramine,Various,Antidepressant,13.99,25mg,"Depression medication"
Pamelor,Nortriptyline,Mallinckrodt,Antidepressant,24.99,25mg,"Depression treatment"
Trileptal,Oxcarbazepine,Novartis,Anticonvulsant,69.99,300mg,"Seizure medication"
Tegretol,Carbamazepine,Novartis,Anticonvulsant,59.99,200mg,"Epilepsy medication"
Dilantin,Phenytoin,Pfizer,Anticonvulsant,49.99,100mg,"Seizure prevention medication"
Phenobarbital,Phenobarbital,Various,Anticonvulsant,19.99,30mg,"Seizure control medication"
